company_name,last_price,perc_change,52_wk_high,52_wk_low,market_cap_cr
Reliance,2868.55,-0.07,3024.8,2221.05,1940830.96
TCS,3858.0,0.63,4254.45,3156.2,1395858.16
HDFC Bank,1465.25,0.02,1757.8,1363.45,1114049.25
ICICI Bank,1132.4,0.17,1169.3,898.85,796042.2
Bharti Airtel,1349.5,0.4,1364.05,783.6,778889.67
SBI,821.3,0.42,839.6,543.15,732978.38
LIC India,974.45,0.44,1175.0,561.35,616339.4
Infosys,1444.9,0.06,1731.0,1242.35,599853.82
HUL,2330.7,0.48,2768.5,2170.25,547619.24
ITC,436.5,-0.02,499.6,399.3,544958.09
Larsen,3466.0,0.46,3859.65,2168.65,487281.22
Bajaj Finance,6740.0,0.18,8190.0,6190.0,417203.52
Maruti Suzuki,12600.0,-0.35,13066.85,8964.9,396147.24
Sun Pharma,1532.85,0.08,1638.7,922.55,367782.06
HCL Tech,1340.1,0.54,1696.5,1063.0,363658.26
NTPC,366.0,0.16,380.4,171.9,354897.98
Axis Bank,1145.0,0.32,1182.8,909.45,353662.62
ONGC,279.1,0.65,292.95,150.7,351115.59
Adani Enterpris,3060.0,-0.01,3349.35,1858.95,348840.34
Kotak Mahindra,1695.5,-0.09,2063.0,1544.15,337053.73
Tata Motors,953.75,0.85,1065.6,504.75,317001.61
Hindustan Aeron,4716.0,4.07,4752.0,1767.95,315394.29
M&M,2504.5,-0.4,2559.95,1238.0,311441.8
Avenue Supermar,4671.0,-0.34,4892.2,3353.05,303957.42
Titan Company,3363.9,0.08,3885.0,2669.25,298642.39
Power Grid Corp,316.0,0.85,318.65,172.54,293899.08
Adani Green Ene,1834.75,0.15,2016.0,816.0,290630.36
Adani Ports,1344.45,0.66,1425.0,659.85,290419.88
Coal India,469.7,-0.14,487.75,223.3,289463.35
UltraTechCement,9860.25,-0.31,10522.65,7584.35,284662.77
Asian Paints,2817.0,0.26,3566.9,2671.0,270206.02
Hind Zinc,618.8,5.0,618.8,285.0,261462.74
Siemens,7205.0,0.24,7249.15,3248.0,256584.64
Bajaj Finserv,1590.6,0.39,1741.85,1397.15,253353.23
Bajaj Auto,8791.7,0.14,9356.0,4450.0,245446.47
Adani Power,634.95,-0.13,651.6,214.0,244896.34
Wipro,463.0,0.42,546.1,375.0,242055.06
Nestle,2495.0,2.04,2770.75,2125.64,240557.21
IOC,164.95,0.55,196.8,83.53,232929.83
Jio Financial,362.0,1.36,394.7,204.65,229988.89
IRFC,173.4,2.73,192.8,31.21,226607.89
JSW Steel,891.45,-1.75,914.85,681.3,217999.99
DLF,850.0,0.13,967.0,440.25,210401.5
Tata Steel,167.9,0.39,170.7,104.1,209598.49
Varun Beverages,1509.65,-0.32,1560.3,754.35,196167.95
Bharat Elec,259.1,4.39,260.6,105.75,189396.37
ABB India,8393.3,0.21,8474.95,3810.0,177861.06
Zomato,194.5,-0.13,207.3,62.05,171684.86
Vedanta,459.45,3.83,461.55,207.85,170787.04
Interglobe Avi,4372.0,0.02,4391.0,2225.05,168749.88
Trent,4648.0,0.29,4698.95,1471.45,165231.67
Grasim,2436.85,0.55,2535.1,1667.9,161806.1
Power Finance,464.5,-0.76,485.3,130.44,153289.73
Pidilite Ind,3003.2,0.61,3116.0,2293.1,152745.56
Ambuja Cements,619.7,-0.12,649.0,395.95,152639.76
Hindalco,660.0,0.72,665.75,398.0,148316.29
SBI Life Insura,1436.5,0.2,1571.55,1091.0,143868.27
REC,544.25,0.08,567.05,127.4,143313.22
Tata Power,441.0,1.08,464.3,201.75,140914.47
LTIMindtree,4747.95,-0.37,6442.65,4565.0,140616.89
PNB,126.15,0.88,142.9,48.25,138903.96
GAIL,208.7,2.38,213.7,102.95,137222.33
BPCL,628.2,-0.04,687.65,331.5,136272.46
Bank of Baroda,262.5,0.48,285.5,177.4,135748.26
Godrej Consumer,1306.0,0.81,1372.0,959.55,133580.33
Eicher Motors,4676.0,-0.38,4740.3,3159.2,128036.64
Tech Mahindra,1305.7,0.07,1416.0,1039.2,127557.15
Britannia,5109.0,0.43,5386.25,4349.95,123059.61
HDFC Life,570.35,0.04,710.6,538.1,122679.1
IOB,64.8,4.42,83.8,23.57,122487.63
Macrotech Dev,1206.75,0.63,1308.95,475.53,120026.4
Adani Energy,1043.1,0.77,1250.0,686.9,116357.04
Havells India,1823.0,0.49,1830.0,1233.1,114244.32
Cipla,1404.25,0.35,1519.0,897.7,113385.57
Zydus Life,1104.45,5.0,1104.45,482.55,111133.51
IndusInd Bank,1416.0,0.3,1694.35,1196.25,110226.93
Union Bank,141.5,1.69,163.15,68.0,108015.52
BHEL,309.4,3.27,318.15,77.3,107735.04
Chola Invest.,1280.4,-0.36,1352.9,991.3,107560.07
Cummins,3824.75,0.87,3892.0,1557.15,106022.07
JSW Energy,598.0,0.86,651.55,240.0,104516.55
TATA Cons. Prod,1096.5,0.27,1269.6,756.6,104478.34
Divis Labs,3918.75,0.18,4104.0,3050.15,104030.5
TVS Motor,2185.0,0.04,2313.9,1214.5,103806.53
Canara Bank,114.4,0.53,126.53,58.26,103768.25
Jindal Steel,1014.0,-0.14,1027.95,503.0,103436.93
Hero Motocorp,5093.3,0.05,5167.7,2611.05,101830.91
CG Power,664.0,1.47,672.45,329.0,101417.62
Adani Total Gas,911.6,-0.24,1259.9,521.95,100258.69
NHPC,97.8,-1.45,115.84,42.55,98240.44
Polycab,6494.25,0.1,6542.2,3298.8,97563.61
Dr Reddys Labs,5812.5,0.23,6505.5,4383.4,96960.14
Dabur India,538.75,0.51,596.9,489.0,95468.61
Shree Cements,26190.0,-0.5,30710.15,22601.3,94495.48
INDUS TOWERS,344.55,0.03,366.5,141.65,92854.05
IDBI Bank,86.25,2.28,98.7,52.64,92739.47
Bajaj Holdings,8220.0,0.13,9355.0,6259.0,91483.27
Torrent Pharma,2698.7,0.02,2782.0,1636.25,91336.27
Bosch,30859.0,-0.52,32098.95,17925.4,91014.42
Shriram Finance,2366.85,-0.2,2658.0,1306.6,88959.95
